transaction_id,order_id,transaction_date,store_id,product_id,quantity,unit_price,discount_rate,unit_cost
TXN058211,ORD052779,2024-01-01,S025,P016,2,143.85,0.02,65.25
TXN027830,ORD026732,2024-01-01,S022,P006,2,154.75,0.0225,95.06
TXN008674,ORD052779,2024-01-01,S025,P011,2,224.78,0.0144,141.91
TXN047310,ORD000962,2024-01-01,S008,P024,1,98.5,0.0208,68.24
TXN047255,ORD044082,2024-01-01,S024,P021,3,109.95,0.0233,69.8
TXN096893,ORD021581,2024-01-01,S006,P029,2,250.6,0.0145,155.16
TXN095459,ORD003307,2024-01-01,S004,P003,2,91.27,0.0319,52.76
TXN036093,ORD000548,2024-01-01,S011,P018,1,56.13,0.0084,27.93
TXN037085,ORD062460,2024-01-01,S019,P026,1,173.07,0.0315,116.96
TXN000303,ORD031385,2024-01-01,S016,P006,2,155.19,0.0294,92.4
TXN064197,ORD050324,2024-01-01,S025,P017,2,47.0,0.0595,22.88
TXN056147,ORD003307,2024-01-01,S004,P011,3,218.06,0.023,146.72
TXN051789,ORD051932,2024-01-01,S016,P029,1,252.07,0.0233,160.39
TXN004580,ORD015514,2024-01-01,S011,P026,1,166.36,0.0229,115.52
TXN041681,ORD002684,2024-01-01,S019,P017,2,45.42,0.025,23.47
TXN083291,ORD021581,2024-01-01,S006,P006,1,157.12,0.0063,89.02
TXN083275,ORD054065,2024-01-01,S014,P009,1,167.37,0.0328,115.78
TXN071220,ORD033441,2024-01-01,S012,P004,5,243.25,0.0278,142.82
TXN089581,ORD045229,2024-01-01,S013,P021,3,109.74,0.0554,72.22
TXN082577,ORD009999,2024-01-01,S012,P030,1,152.68,0.016,101.86
TXN019342,ORD005286,2024-01-01,S001,P010,4,247.97,0.0272,158.12
TXN015998,ORD003257,2024-01-01,S001,P012,5,298.5,0.0268,173.87
TXN041937,ORD053580,2024-01-01,S008,P011,1,224.27,0.0208,141.55
TXN076177,ORD054569,2024-01-01,S009,P007,1,218.56,0.034,130.96
TXN086820,ORD061954,2024-01-01,S022,P011,4,222.11,0.0388,145.04
TXN087937,ORD047682,2024-01-01,S002,P011,3,219.46,0.0199,144.03
TXN091616,ORD060422,2024-01-01,S010,P023,2,163.15,0.0755,104.31
TXN016030,ORD050324,2024-01-01,S025,P003,1,88.36,0.0191,53.4
TXN068620,ORD018788,2024-01-01,S015,P016,1,142.13,0.0222,65.35
TXN038211,ORD054545,2024-01-01,S021,P005,2,90.78,0.041,56.09
TXN064465,ORD033592,2024-01-01,S008,P016,2,142.87,0.0045,66.67
TXN003925,ORD055709,2024-01-01,S004,P016,3,142.3,0.0447,64.12
TXN018520,ORD015514,2024-01-01,S011,P026,3,169.38,0.0297,114.13
TXN055680,ORD025269,2024-01-01,S004,P028,2,336.09,0.0777,207.44
TXN013971,ORD022542,2024-01-01,S017,P021,2,110.82,0.019,71.32
TXN059501,ORD043327,2024-01-01,S025,P016,4,144.82,0.0175,64.81
TXN006920,ORD010022,2024-01-01,S011,P029,2,249.55,0.0085,159.93
TXN019434,ORD050372,2024-01-01,S014,P018,3,55.39,0.0196,28.99
TXN068696,ORD012295,2024-01-01,S008,P018,2,56.07,0.0293,27.78
TXN032988,ORD060422,2024-01-01,S010,P018,3,56.54,0.0064,28.56
TXN037072,ORD002684,2024-01-01,S019,P016,5,140.28,0.0113,65.23
TXN037070,ORD015710,2024-01-01,S020,P030,4,156.57,0.0065,101.7
TXN019818,ORD059506,2024-01-01,S022,P001,6,231.56,0.0262,148.15
TXN097742,ORD029412,2024-01-01,S008,P023,2,161.07,0.0188,111.37
TXN055337,ORD028161,2024-01-01,S011,P004,1,244.11,0.0097,146.18
TXN007652,ORD051932,2024-01-01,S016,P026,1,165.97,0.0286,108.78
TXN061869,ORD037470,2024-01-01,S008,P001,1,226.13,0.0217,148.46
TXN042349,ORD010724,2024-01-01,S011,P005,2,89.48,0.0061,57.14
TXN065169,ORD053191,2024-01-01,S017,P005,3,90.35,0.0435,58.12
TXN056536,ORD003257,2024-01-01,S001,P022,2,140.09,0.0316,92.19
TXN091317,ORD040367,2024-01-01,S004,P010,3,251.71,0.0382,153.1
TXN061810,ORD058375,2024-01-01,S023,P008,1,150.96,0.0279,102.28
TXN021962,ORD009671,2024-01-01,S024,P017,3,46.63,0.0134,22.77
TXN056482,ORD026547,2024-01-01,S014,P002,5,257.53,0.0191,160.01
TXN022002,ORD047232,2024-01-01,S007,P027,2,346.66,0.0449,212.52
TXN046216,ORD049768,2024-01-01,S006,P012,2,298.65,0.0072,177.38
TXN073626,ORD021999,2024-01-01,S023,P030,3,150.05,0.032,103.5
TXN089474,ORD048576,2024-01-01,S008,P021,1,109.01,0.0245,71.18
TXN064964,ORD058375,2024-01-01,S023,P023,2,160.62,0.0422,105.47
TXN051574,ORD018788,2024-01-01,S015,P023,3,163.18,0.0474,104.01
TXN083110,ORD023342,2024-01-01,S014,P012,3,297.11,0.0704,178.11
TXN055456,ORD044082,2024-01-01,S024,P022,1,135.68,0.0328,94.38
TXN064123,ORD029875,2024-01-01,S011,P011,4,225.06,0.0216,153.16
TXN018632,ORD062521,2024-01-01,S025,P013,1,122.09,0.0026,66.7
TXN026508,ORD053191,2024-01-01,S017,P017,1,45.8,0.0413,23.17
TXN074826,ORD016014,2024-01-01,S017,P001,3,229.72,0.0127,144.29
TXN080997,ORD017840,2024-01-01,S024,P027,2,347.68,0.0281,213.45
TXN045426,ORD035219,2024-01-01,S012,P004,5,241.17,0.0489,147.66
TXN037820,ORD025269,2024-01-01,S004,P022,1,137.49,0.0063,94.14
TXN043207,ORD043052,2024-01-01,S006,P008,1,151.1,0.0069,105.14
TXN083886,ORD061954,2024-01-01,S022,P014,1,88.97,0.0238,49.21
TXN069564,ORD013006,2024-01-01,S004,P021,2,110.28,0.0258,72.25
TXN066686,ORD054944,2024-01-01,S014,P030,5,155.64,0.0656,102.45
TXN054388,ORD043052,2024-01-01,S006,P030,5,154.38,0.0006,103.67
TXN025936,ORD031520,2024-01-01,S001,P012,2,300.12,0.0135,173.47
TXN015364,ORD043052,2024-01-01,S006,P001,1,229.56,0.043,147.25
TXN043963,ORD053596,2024-01-01,S011,P016,1,144.84,0.0285,65.62
TXN048041,ORD005344,2024-01-01,S011,P022,1,137.34,0.0429,93.98
TXN057693,ORD032393,2024-01-01,S024,P030,1,155.39,0.0062,102.05
TXN043251,ORD048576,2024-01-01,S008,P004,1,244.13,0.0325,144.21
TXN016393,ORD060799,2024-01-01,S020,P017,2,45.34,0.0121,23.22
TXN039917,ORD026773,2024-01-01,S013,P022,1,135.56,0.0203,95.65
TXN094353,ORD001641,2024-01-01,S017,P016,3,141.8,0.0167,64.73
TXN031732,ORD061715,2024-01-01,S022,P017,3,46.64,0.0366,22.89
TXN031849,ORD007839,2024-01-01,S011,P015,1,59.94,0.0405,29.15
TXN001330,ORD002955,2024-01-01,S011,P030,3,156.76,0.035,105.02
TXN083879,ORD018859,2024-01-01,S016,P011,1,218.05,0.0361,147.94
TXN003740,ORD025299,2024-01-01,S017,P006,1,154.62,0.014,93.36
TXN071746,ORD028913,2024-01-01,S017,P017,1,46.56,0.0669,22.88
TXN071142,ORD037470,2024-01-01,S008,P011,3,227.51,0.0445,151.97
TXN071253,ORD060799,2024-01-01,S020,P017,2,46.17,0.0,22.53
TXN078145,ORD053596,2024-01-01,S011,P026,3,170.02,0.0447,111.26
TXN081283,ORD034951,2024-01-01,S022,P001,1,235.35,0.0661,149.23
TXN010942,ORD032783,2024-01-01,S005,P001,2,229.58,0.0134,149.44
TXN030987,ORD043327,2024-01-01,S025,P011,1,221.03,0.0246,145.94
TXN014941,ORD051932,2024-01-01,S016,P012,1,297.36,0.0214,173.31
TXN005597,ORD039244,2024-01-01,S004,P014,3,87.25,0.0223,47.76
TXN031389,ORD061715,2024-01-01,S022,P006,1,154.34,0.0568,91.12
TXN093377,ORD049768,2024-01-01,S006,P022,1,135.41,0.0645,94.0
TXN027481,ORD056309,2024-01-01,S023,P006,4,151.89,0.0601,89.11
TXN061539,ORD014061,2024-01-02,S020,P023,5,164.47,0.0114,102.36
TXN031669,ORD006813,2024-01-02,S025,P006,1,152.89,0.0202,92.21
TXN041149,ORD046786,2024-01-02,S011,P026,3,167.04,0.0234,112.02
TXN006235,ORD004223,2024-01-02,S006,P017,3,46.2,0.0242,23.65
TXN039404,ORD000802,2024-01-02,S005,P016,2,141.9,0.0191,64.46
TXN067974,ORD019429,2024-01-02,S025,P008,2,154.93,0.0033,100.36
TXN062093,ORD053274,2024-01-02,S021,P011,4,220.64,0.0516,146.84
TXN004664,ORD015740,2024-01-02,S005,P027,1,356.02,0.0445,207.37
TXN038563,ORD038156,2024-01-02,S025,P023,4,160.71,0.0571,104.47
TXN060982,ORD021006,2024-01-02,S025,P008,1,151.24,0.0503,104.61
TXN044870,ORD003681,2024-01-02,S003,P018,1,55.74,0.0201,28.92
TXN097738,ORD024844,2024-01-02,S025,P016,4,139.91,0.0438,64.46
TXN051265,ORD020077,2024-01-02,S020,P012,2,294.55,0.0207,173.98
TXN065205,ORD007819,2024-01-02,S002,P015,4,61.24,0.0152,29.66
TXN099206,ORD021006,2024-01-02,S025,P011,2,221.58,0.016,143.04
TXN075882,ORD016723,2024-01-02,S007,P030,2,159.19,0.0168,102.05
TXN042464,ORD021547,2024-01-02,S001,P011,2,221.92,0.0418,144.02
TXN092120,ORD039237,2024-01-02,S003,P026,3,164.37,0.0439,115.43
TXN074531,ORD053274,2024-01-02,S021,P029,1,256.09,0.0305,155.32
TXN016523,ORD062980,2024-01-02,S017,P004,5,239.35,0.0166,146.57
TXN086514,ORD061905,2024-01-02,S002,P016,2,145.71,0.0831,65.73
TXN007493,ORD035024,2024-01-02,S022,P010,2,247.47,0.0327,152.12
TXN032832,ORD008103,2024-01-02,S001,P026,1,166.54,0.0364,114.96
TXN050875,ORD037772,2024-01-02,S008,P017,1,46.62,0.0047,22.34
TXN009377,ORD023644,2024-01-02,S022,P023,6,162.74,0.0348,104.72
TXN018207,ORD028702,2024-01-02,S024,P004,1,240.76,0.0142,146.94
TXN023235,ORD061504,2024-01-02,S025,P023,4,160.21,0.0323,107.46
TXN069901,ORD029870,2024-01-02,S013,P010,2,247.68,0.0641,158.71
TXN014461,ORD041041,2024-01-02,S006,P010,2,255.21,0.0734,157.44
TXN079226,ORD037465,2024-01-02,S005,P030,2,152.79,0.0041,105.04
TXN005085,ORD047011,2024-01-02,S024,P008,1,153.4,0.0308,104.68
TXN053960,ORD004223,2024-01-02,S006,P004,1,242.62,0.0223,145.97
TXN069015,ORD022745,2024-01-02,S011,P020,1,41.6,0.0089,19.25
TXN049181,ORD047260,2024-01-02,S010,P027,3,342.35,0.0258,213.49
TXN023252,ORD043728,2024-01-02,S012,P029,1,256.35,0.0189,160.42
TXN060142,ORD041145,2024-01-02,S023,P013,1,124.42,0.0457,66.12
TXN028618,ORD055176,2024-01-02,S015,P016,1,144.94,0.0228,67.36
TXN086569,ORD027576,2024-01-02,S010,P016,1,140.87,0.0207,65.68
TXN082044,ORD057789,2024-01-02,S019,P006,1,154.44,0.0353,90.28
TXN031898,ORD011581,2024-01-02,S012,P003,4,93.69,0.0126,54.27
TXN049170,ORD046625,2024-01-02,S001,P020,1,41.79,0.0184,18.88
TXN091297,ORD016018,2024-01-02,S020,P011,1,218.74,0.0703,145.46
TXN006536,ORD053274,2024-01-02,S021,P019,1,30.84,0.0267,15.28
TXN053978,ORD028702,2024-01-02,S024,P009,1,169.67,0.016,117.99
TXN045865,ORD035508,2024-01-02,S009,P015,3,61.18,0.0169,29.41
TXN007903,ORD061905,2024-01-02,S002,P026,1,164.62,0.0646,110.95
TXN002005,ORD000802,2024-01-02,S005,P022,1,136.97,0.0118,94.14
TXN088524,ORD053517,2024-01-02,S011,P003,1,92.15,0.0947,53.38
TXN074085,ORD032863,2024-01-02,S011,P029,1,256.51,0.0483,160.77
TXN099545,ORD036861,2024-01-02,S010,P022,2,136.93,0.0103,94.08
TXN025016,ORD030710,2024-01-02,S001,P016,4,141.0,0.0277,64.23
TXN058438,ORD021961,2024-01-02,S019,P028,3,331.32,0.0063,197.8
TXN000446,ORD060328,2024-01-02,S019,P018,3,55.36,0.0386,27.6
TXN083205,ORD029736,2024-01-02,S016,P029,1,257.16,0.0664,161.7
TXN061386,ORD050450,2024-01-02,S011,P027,2,349.68,0.0137,207.69
TXN011878,ORD036946,2024-01-02,S004,P021,2,108.11,0.0432,72.09
TXN024589,ORD009519,2024-01-02,S011,P026,2,167.22,0.0223,113.88
TXN061655,ORD043476,2024-01-02,S023,P016,1,139.87,0.0346,62.45
TXN011396,ORD012870,2024-01-02,S011,P017,2,47.32,0.0377,23.04
TXN015287,ORD047260,2024-01-02,S010,P012,1,299.07,0.0057,174.08
TXN022546,ORD048845,2024-01-02,S005,P010,2,253.41,0.0152,159.4
TXN085393,ORD015725,2024-01-02,S011,P023,4,162.67,0.0129,106.29
TXN005756,ORD053274,2024-01-02,S021,P019,2,31.53,0.024,15.26
TXN060002,ORD061504,2024-01-02,S025,P015,1,59.22,0.0095,29.36
TXN008007,ORD028702,2024-01-02,S024,P006,3,158.21,0.0915,90.0
TXN086805,ORD003296,2024-01-02,S019,P006,1,155.62,0.0211,91.2
TXN064463,ORD060328,2024-01-02,S019,P023,4,164.45,0.0091,105.1
TXN082446,ORD004223,2024-01-02,S006,P025,3,300.76,0.0263,194.47
TXN073680,ORD055176,2024-01-02,S015,P027,6,347.44,0.0207,207.89
TXN072064,ORD048974,2024-01-02,S010,P021,1,111.15,0.0191,73.07
TXN098964,ORD021006,2024-01-02,S025,P003,1,91.9,0.0167,54.14
TXN039946,ORD048460,2024-01-02,S020,P010,2,246.59,0.0216,155.4
TXN030255,ORD011581,2024-01-02,S012,P010,2,248.6,0.0104,150.69
TXN022958,ORD008388,2024-01-02,S004,P012,2,294.53,0.0133,179.24
TXN046296,ORD048606,2024-01-02,S016,P011,1,226.0,0.0333,143.1
TXN066840,ORD058477,2024-01-02,S015,P011,5,225.29,0.0424,147.06
TXN013688,ORD037270,2024-01-02,S007,P026,2,165.82,0.003,116.91
TXN068905,ORD062060,2024-01-02,S005,P015,1,60.79,0.0077,30.49
TXN068893,ORD029736,2024-01-02,S016,P021,2,110.38,0.0232,71.48
TXN067342,ORD040809,2024-01-02,S001,P013,2,122.68,0.0257,66.29
TXN056380,ORD022745,2024-01-02,S011,P003,1,91.64,0.0198,52.05
TXN019642,ORD061484,2024-01-02,S017,P029,3,251.7,0.0461,150.92
TXN052769,ORD053118,2024-01-02,S017,P028,2,335.23,0.0282,201.87
TXN064979,ORD022745,2024-01-02,S011,P006,3,156.88,0.033,90.28
TXN068276,ORD061484,2024-01-02,S017,P015,2,59.89,0.0288,29.49
TXN051603,ORD064846,2024-01-02,S021,P004,1,245.58,0.0133,147.47
TXN075995,ORD053517,2024-01-02,S011,P015,2,60.08,0.0513,29.18
TXN018639,ORD021961,2024-01-02,S019,P021,2,109.16,0.0183,70.02
TXN083365,ORD004357,2024-01-02,S012,P004,1,243.27,0.0218,152.07
TXN071418,ORD046625,2024-01-02,S001,P023,2,155.67,0.013,102.6
TXN003894,ORD046625,2024-01-02,S001,P027,1,345.83,0.0341,212.58
TXN033459,ORD040628,2024-01-02,S018,P006,1,155.29,0.0699,93.09
TXN008199,ORD040809,2024-01-02,S001,P030,1,152.79,0.013,99.73
TXN076528,ORD061504,2024-01-02,S025,P019,2,31.19,0.0349,15.13
TXN076527,ORD017795,2024-01-02,S014,P030,2,157.14,0.0674,104.4
TXN028211,ORD048606,2024-01-02,S016,P011,1,222.97,0.0568,142.88
TXN009246,ORD055590,2024-01-02,S007,P027,2,342.97,0.0197,216.88
TXN008729,ORD058477,2024-01-02,S015,P016,2,143.29,0.0384,64.17
TXN038770,ORD062980,2024-01-02,S017,P027,1,348.13,0.0133,217.15
TXN001266,ORD017795,2024-01-02,S014,P011,1,219.61,0.0267,148.73
TXN090637,ORD023644,2024-01-02,S022,P030,6,156.64,0.0587,103.45
TXN059602,ORD036861,2024-01-02,S010,P012,1,292.52,0.0327,174.7
TXN071757,ORD016723,2024-01-02,S007,P021,5,108.68,0.029,70.8
TXN014912,ORD006207,2024-01-02,S024,P016,1,145.27,0.0179,64.18
TXN069241,ORD036210,2024-01-02,S008,P003,1,92.63,0.0521,54.45
TXN017330,ORD017154,2024-01-02,S009,P012,1,295.31,0.0901,175.95
TXN077787,ORD062060,2024-01-02,S005,P010,2,255.08,0.0008,151.0
TXN020259,ORD029870,2024-01-02,S013,P017,1,46.7,0.0365,23.32
TXN007207,ORD004357,2024-01-02,S012,P011,2,223.7,0.0174,144.93
TXN030963,ORD046625,2024-01-02,S001,P003,3,92.26,0.023,53.39
TXN037560,ORD048183,2024-01-02,S001,P012,3,296.75,0.055,182.56
TXN057203,ORD012870,2024-01-02,S011,P005,1,89.21,0.0258,58.61
TXN028800,ORD036946,2024-01-02,S004,P026,1,170.97,0.0263,114.0
TXN059905,ORD020077,2024-01-02,S020,P018,1,56.15,0.0242,27.79
TXN011606,ORD008763,2024-01-02,S005,P011,2,226.2,0.0079,146.28
TXN002700,ORD023598,2024-01-02,S023,P003,3,91.02,0.0224,53.54
TXN043297,ORD062060,2024-01-02,S005,P027,1,351.87,0.0144,219.97
TXN078082,ORD039237,2024-01-02,S003,P013,1,124.4,0.0437,66.03
TXN020252,ORD009855,2024-01-02,S002,P017,1,46.77,0.009,23.34
TXN047494,ORD043935,2024-01-02,S014,P005,3,87.78,0.0222,59.22
TXN010677,ORD062060,2024-01-02,S005,P015,4,60.12,0.0482,28.87
TXN047508,ORD017154,2024-01-02,S009,P004,2,235.5,0.0125,142.54
TXN095677,ORD035508,2024-01-02,S009,P027,4,345.1,0.0538,213.67
TXN094837,ORD016723,2024-01-02,S007,P029,1,255.74,0.0042,155.14
TXN081125,ORD023389,2024-01-02,S012,P021,2,108.39,0.0319,69.09
TXN078955,ORD037772,2024-01-02,S008,P026,1,167.03,0.0438,114.3
TXN060538,ORD057538,2024-01-02,S005,P002,1,256.48,0.0338,164.2
TXN048042,ORD000545,2024-01-02,S015,P021,5,109.18,0.0187,71.11
TXN080391,ORD028702,2024-01-02,S024,P025,4,297.2,0.0243,192.23
TXN059035,ORD023655,2024-01-02,S023,P001,1,226.55,0.0677,149.84
TXN047377,ORD017154,2024-01-02,S009,P027,2,348.41,0.0482,209.99
TXN010484,ORD036861,2024-01-02,S010,P021,2,109.53,0.0196,70.76
TXN037467,ORD008763,2024-01-02,S005,P026,1,170.11,0.0287,115.32
TXN003362,ORD026522,2024-01-02,S012,P011,1,225.94,0.0288,144.43
TXN063588,ORD038156,2024-01-02,S025,P023,1,160.72,0.0389,107.34
TXN024111,ORD060328,2024-01-02,S019,P004,2,241.45,0.0137,149.8
TXN053712,ORD032863,2024-01-02,S011,P021,4,109.62,0.0126,72.87
TXN066602,ORD014216,2024-01-02,S022,P027,2,346.57,0.0476,217.63
TXN053359,ORD006813,2024-01-02,S025,P009,2,169.12,0.0117,118.25
TXN044356,ORD048845,2024-01-02,S005,P004,1,240.53,0.03,150.93
TXN073084,ORD014216,2024-01-02,S022,P026,1,166.07,0.0269,116.68
TXN075114,ORD009855,2024-01-02,S002,P003,3,92.81,0.0042,53.22
TXN057604,ORD037465,2024-01-02,S005,P029,3,252.09,0.0122,159.77
TXN000226,ORD009519,2024-01-02,S011,P022,1,136.26,0.039,94.58
TXN037534,ORD017363,2024-01-03,S010,P008,3,150.45,0.0634,101.35
TXN082158,ORD062797,2024-01-03,S006,P017,1,46.34,0.0135,22.58
TXN031046,ORD031539,2024-01-03,S001,P018,4,54.75,0.0606,28.19
TXN064852,ORD003011,2024-01-03,S022,P030,2,156.83,0.0261,102.64
TXN085265,ORD010046,2024-01-03,S014,P011,2,220.29,0.0427,145.3
TXN039499,ORD049515,2024-01-03,S009,P001,2,233.13,0.0191,146.9
TXN034109,ORD004119,2024-01-03,S005,P006,2,154.56,0.0165,92.14
TXN019529,ORD012222,2024-01-03,S023,P009,3,169.73,0.0414,115.54
TXN064470,ORD019454,2024-01-03,S014,P012,1,293.14,0.0612,183.45
TXN094327,ORD030449,2024-01-03,S006,P015,1,61.21,0.0044,28.83
TXN045038,ORD042265,2024-01-03,S001,P021,3,110.18,0.0309,72.18
TXN058859,ORD042265,2024-01-03,S001,P006,3,156.41,0.0107,92.61
TXN000509,ORD028113,2024-01-03,S012,P013,1,125.5,0.0291,65.99
TXN074110,ORD040998,2024-01-03,S005,P006,1,158.76,0.0496,93.35
TXN038438,ORD015396,2024-01-03,S019,P012,3,290.73,0.0216,175.82
TXN082582,ORD002535,2024-01-03,S017,P013,3,124.12,0.0105,64.34
TXN056300,ORD049515,2024-01-03,S009,P020,2,41.28,0.0193,18.92
TXN068771,ORD004119,2024-01-03,S005,P026,1,167.42,0.0213,114.22
TXN092456,ORD054288,2024-01-03,S019,P003,1,91.6,0.0064,52.72
TXN064400,ORD048795,2024-01-03,S025,P029,1,256.07,0.0256,156.53
TXN047482,ORD019867,2024-01-03,S009,P030,2,156.5,0.032,104.46
TXN062698,ORD011312,2024-01-03,S015,P026,1,164.33,0.0266,115.15
TXN074132,ORD060545,2024-01-03,S002,P022,1,135.55,0.08,95.39
TXN009056,ORD006391,2024-01-03,S005,P022,1,139.04,0.0476,92.57
TXN048983,ORD023371,2024-01-03,S005,P016,2,144.15,0.031,64.57
TXN068261,ORD059479,2024-01-03,S023,P026,2,167.28,0.011,109.9
TXN055435,ORD034973,2024-01-03,S004,P011,1,217.75,0.0092,147.76
TXN048506,ORD059614,2024-01-03,S017,P004,2,245.92,0.0859,145.05
TXN098484,ORD011312,2024-01-03,S015,P017,5,45.78,0.0153,22.7
TXN023710,ORD015396,2024-01-03,S019,P026,1,170.44,0.0398,116.86
TXN099024,ORD019011,2024-01-03,S005,P010,2,253.46,0.0132,151.55
TXN006370,ORD054859,2024-01-03,S010,P025,5,286.5,0.0176,198.05
TXN018969,ORD015576,2024-01-03,S016,P027,2,343.41,0.0369,216.79
TXN078833,ORD044840,2024-01-03,S002,P021,1,111.54,0.0247,72.53
TXN088078,ORD059136,2024-01-03,S019,P006,2,156.19,0.0127,90.09
TXN012049,ORD036132,2024-01-03,S025,P026,3,166.22,0.0152,113.97
TXN057994,ORD025425,2024-01-03,S010,P015,6,59.56,0.0377,28.99
TXN020202,ORD029498,2024-01-03,S001,P017,1,46.66,0.0104,22.5
TXN057458,ORD055005,2024-01-03,S024,P018,4,56.36,0.0121,29.62
TXN019325,ORD060444,2024-01-03,S005,P021,2,111.55,0.0174,71.51
TXN035402,ORD049830,2024-01-03,S019,P015,1,61.17,0.0454,29.46
TXN049885,ORD046160,2024-01-03,S009,P018,3,55.38,0.0362,27.84
TXN061316,ORD007270,2024-01-03,S010,P004,2,244.82,0.0432,150.74
TXN069678,ORD043199,2024-01-03,S024,P003,3,89.03,0.0341,53.68
TXN077807,ORD043105,2024-01-03,S009,P030,3,154.83,0.0359,103.41
TXN024905,ORD055948,2024-01-03,S004,P018,2,55.4,0.067,28.32
TXN014796,ORD034973,2024-01-03,S004,P016,2,143.23,0.028,64.48
TXN049829,ORD004960,2024-01-03,S023,P025,5,291.5,0.0719,198.39
TXN030904,ORD015821,2024-01-03,S009,P006,4,157.87,0.0836,92.93
TXN011954,ORD042551,2024-01-03,S020,P015,5,60.35,0.0103,30.16
TXN000843,ORD023371,2024-01-03,S005,P022,1,136.94,0.0238,94.9
TXN048619,ORD045853,2024-01-03,S024,P011,1,224.72,0.0273,149.77
TXN032033,ORD014672,2024-01-03,S024,P006,1,156.43,0.0654,92.62
TXN045252,ORD060187,2024-01-03,S003,P030,2,157.04,0.0121,101.85
TXN005694,ORD055948,2024-01-03,S004,P027,1,348.92,0.0191,213.64
TXN061607,ORD042265,2024-01-03,S001,P026,1,172.25,0.0263,116.96
